"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"AGAP003289",1.65398886590638e-13,2.58418880446932,0.615,0.046,2.17185277982167e-09,"C_1","AGAP003289"
"AGAP002102",5.69698523134576e-12,3.03790365298278,0.308,0.008,7.48071130728011e-08,"C_1","AGAP002102"
"AGAP009879",7.17156370093606e-12,2.80747608433959,0.385,0.017,9.41698029569914e-08,"C_1","AGAP009879"
"AGAP011436",8.61973745396277e-12,2.76307610179201,0.308,0.008,1.13185772507985e-07,"C_1","AGAP011436"
"AGAP008766",7.92766142205102e-11,2.21213528818525,0.538,0.046,1.04098122132952e-06,"C_1","AGAP008766"
"AGAP008459",3.88608597476892e-10,3.00750652355501,0.308,0.013,5.10281949346907e-06,"C_1","AGAP008459"
"AGAP012450",3.88608597476892e-10,2.7416896327489,0.308,0.013,5.10281949346907e-06,"C_1","AGAP012450"
"AGAP006523",3.88608597476892e-10,2.50979450510751,0.308,0.013,5.10281949346907e-06,"C_1","AGAP006523"
"AGAP006537",5.51731760753994e-10,2.18816491037552,0.308,0.013,7.24478975046069e-06,"C_1","AGAP006537"
"AGAP005742",5.58261048993733e-10,2.64206469787823,0.538,0.054,7.3305258343367e-06,"C_1","AGAP005742"
"AGAP011511",1.11239480802413e-09,2.24497038261249,0.385,0.025,1.46068562241649e-05,"C_1","AGAP011511"
"AGAP010468",1.33505973355843e-09,2.7500075829358,0.154,0,1.75306693613558e-05,"C_1","AGAP010468"
"AGAP012886",1.33505973355843e-09,2.50053767743932,0.154,0,1.75306693613558e-05,"C_1","AGAP012886"
"AGAP006345",1.33505973355843e-09,1.89709090409176,0.154,0,1.75306693613558e-05,"C_1","AGAP006345"
"AGAP002276",1.58892894770005e-09,1.88160872731912,0.538,0.054,2.08642260122494e-05,"C_1","AGAP002276"
"AGAP013298",1.67895537766769e-09,1.4949381025396,0.385,0.025,2.20463630641545e-05,"C_1","AGAP013298"
"AGAP004634",3.51762506763353e-09,2.65553005361989,0.538,0.063,4.61899347630959e-05,"C_1","AGAP004634"
"AGAP011810",3.58181433673474e-09,2.31803654923784,0.462,0.042,4.70328040556639e-05,"C_1","AGAP011810"
"AGAP001637",6.13584844107425e-09,2.6175691622883,0.385,0.029,8.0569825879746e-05,"C_1","AGAP001637"
"AGAP011968",6.26034275134689e-09,2.2483801267585,0.538,0.063,8.2204560667936e-05,"C_1","AGAP011968"
"AGAP013245",6.53629776407885e-09,2.52657201706132,0.385,0.029,8.58281259401194e-05,"C_1","AGAP013245"
